name,pfs,source,rarity,trait,item_category,item_subcategory,level,price,bulk,usage,spoilers
Light Pick,Standard,Player Core pg. 278 <sup>2.0</sup>,Common,"Agile, Fatal 1d8",Weapons,Base Weapons,0,4 sp,L,,
Piranha Kiss,Standard,Grand Bazaar pg. 106,Uncommon,"Agile, Disarm, Finesse, Uncommon",Weapons,Base Weapons,0,4 sp,L,,
Qat,Restricted,"Absalom, City of Lost Omens pg. 391",Common,"Alchemical, Consumable, Drug, Ingested, Poison",Alchemical Items,Drugs,0,4 sp,L,held in 1 hand,
Rations,Standard,Player Core pg. 290 <sup>2.0</sup>,Common,,Adventuring Gear,,0,4 sp (1 week),L,,
Tool (Short),Standard,Player Core pg. 292 <sup>2.0</sup>,Common,,Adventuring Gear,,0,4 sp,L,,
Animal Call,Standard,Howl of the Wild pg. 112 <sup>2.0</sup>,Common,,Adventuring Gear,,0,5 sp,,,
Basic Chair,Standard,Guns & Gears pg. 91 <sup>2.0</sup>,Common,,Assistive Items,Mobility Devices,0,5 sp,2,,
Bloodeye Coffee,,Gamemastery Guide pg. 120,Common,"Alchemical, Consumable, Drug, Ingested, Poison",Alchemical Items,Drugs,0,5 sp,L,held in 1 hand,
Bola,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,"Nonlethal, Ranged Trip, Thrown",Weapons,Base Weapons,0,5 sp,L,,
Cage,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animal Caretaking Gear,0,5 sp,,,
Cane,Standard,Player Core pg. 293 <sup>2.0</sup>,Common,,Assistive Items,,0,5 sp,L,,
Chakram,Standard,Grand Bazaar pg. 105,Common,Thrown,Weapons,Base Weapons,0,5 sp,L,,
Climbing Kit,Standard,Player Core pg. 287 <sup>2.0</sup>,Common,,Adventuring Gear,,0,5 sp,1,,
Corrective Lenses,Standard,Player Core pg. 293 <sup>2.0</sup>,Common,,Assistive Items,,0,5 sp,,,
Crowbar,Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,0,5 sp,L,,
Crutch,Standard,Player Core pg. 293 <sup>2.0</sup>,Common,,Assistive Items,,0,5 sp,L,,
Duck,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,5 sp,,,
Dueling Cape,Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,0,5 sp,L,,
False-Bottomed Mug,Standard,Dark Archive pg. 82,Uncommon,Uncommon,Adventuring Gear,,0,5 sp,L,held in 1 hand,
Fighting Stick,Standard,The Mwangi Expanse pg. 86 <sup>2.0</sup>,Uncommon,"Backswing, Halfling, Nonlethal, Shove, Uncommon",Weapons,Base Weapons,0,5 sp,1,,
Fixer (Basic Informant),Standard,PFS Guide pg. 116,Common,,Services,Fixer,0,5 sp (per hour),,,
Games,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,0,"5 sp (-5 gp, see text)",L,held in 2 hands,
Hand Adze,Standard,Player Core 2 pg. 274,Common,"Agile, Finesse, Sweep, Thrown 10 ft., Tripkee",Weapons,Base Weapons,0,5 sp,L,,
Handling Gloves,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animal Caretaking Gear,0,5 sp,,,
Hearing Aid,Standard,Player Core pg. 293 <sup>2.0</sup>,Common,,Assistive Items,,0,5 sp,,,
Hireling (Skilled),Standard,Core Rulebook pg. 294 <sup>4.0</sup>,Common,,Services,Hirelings,0,5 sp (per day),,,
Longspear,Standard,Player Core pg. 277 <sup>2.0</sup>,Common,Reach,Weapons,Base Weapons,0,5 sp,2,,
Main-gauche,Standard,Player Core pg. 278 <sup>2.0</sup>,Common,"Agile, Disarm, Finesse, Parry, Versatile S",Weapons,Base Weapons,0,5 sp,L,,
Material Component Pouch,Limited,Core Rulebook pg. 290 <sup>4.0</sup>,Common,,Adventuring Gear,,0,5 sp,L,,
Oilskin Pouch,Standard,Howl of the Wild pg. 113 <sup>2.0</sup>,Common,,Adventuring Gear,,0,5 sp,L,,
Parrying Scabbard,Standard,Player Core pg. 290 <sup>2.0</sup>,Common,,Adventuring Gear,,0,5 sp,L,,
Pig,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,5 sp,,,
Playing Cards,Standard,PFS Guide pg. 115,Common,,Adventuring Gear,,0,5 sp,,,
Probing Cane,Standard,Grand Bazaar pg. 67,Common,,Assistive Items,Canes & Crutches,0,5 sp,L,held in 1 hand,
Probing Cane,Standard,Grand Bazaar pg. 67,Common,"Finesse, Sweep",Weapons,Base Weapons,0,5 sp,L,,
Prosthesis,Standard,Player Core pg. 293 <sup>2.0</sup>,Common,,Assistive Items,,0,5 sp,,,
Reinforced Frame,Standard,Grand Bazaar pg. 72,Common,"Agile, Attached, Free-Hand",Weapons,Base Weapons,0,5 sp,,,
Reinforced Wheels,Standard,Grand Bazaar pg. 72,Common,,Assistive Items,Mobility Devices,0,5 sp,,,
Rope,Standard,Player Core pg. 290 <sup>2.0</sup>,Common,,Adventuring Gear,,0,5 sp (50 ft.),L,,
Ruler,Limited,PFS Guide pg. 34,Common,,Adventuring Gear,,0,5 sp,,held in 1 hand,
Scorpion Whip,Limited,Pathfinder #151: The Show Must Go On pg. 77,Uncommon,"Disarm, Finesse, Reach, Trip, Uncommon",Weapons,Base Weapons,0,5 sp,L,,Extinction Curse
Shears,Standard,"Monster Core pg. 241, Bestiary 2 pg. 184 <sup>2.0</sup>",Uncommon,"Deadly d8, Finesse, Uncommon, Versatile P",Weapons,Base Weapons,0,5 sp,L,,
Shield Boss,Standard,Player Core pg. 278 <sup>2.0</sup>,Common,Attached to Shield,Weapons,Base Weapons,0,5 sp,,,
Shield Spikes,Standard,Player Core pg. 278 <sup>2.0</sup>,Common,Attached to Shield,Weapons,Base Weapons,0,5 sp,,,
Splint,Standard,Grand Bazaar pg. 69,Common,,Assistive Items,Joint Supports and Splints,0,5 sp,,worn,
Support,Standard,Grand Bazaar pg. 69,Common,,Assistive Items,Joint Supports and Splints,0,5 sp,,worn,
Tear-Away Clothing,Standard,Grand Bazaar pg. 93,Common,,Adventuring Gear,,0,5 sp,,modifies existing clothing,
The Old Mage Deck,Standard,Secrets of Magic pg. 183 <sup>1.1</sup>,Common,,Adventuring Gear,,0,5 sp,,,
Toy Carriage,Standard,Grand Bazaar pg. 59,Common,,Adventuring Gear,,0,5 sp,,held in 1 hand,
Voicebox,Standard,Treasure Vault pg. 109 <sup>1.1</sup>,Common,"Illusion, Magical",Assistive Items,,0,5 sp,,worn necklace,
